Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Predicted_PE
3,B5 SH,ALEXANDER D,3019.0,91.02,0.494,13.3,21.48,,1,0.875,3.5649300000000004
3,B5 SH,ALEXANDER D,3019.5,95.68,0.378,9.7,22.44,,1,0.75,3.1671300000000007
3,B5 SH,ALEXANDER D,3020.0,98.58,0.356,9.4,23.4,,1,0.625,3.1036299999999994
3,B5 SH,ALEXANDER D,3020.5,97.21,0.33,11.6,24.03,,1,0.5,3.1729199999999995
3,B5 SH,ALEXANDER D,3021.0,94.91,0.318,12.9,23.59,,1,0.375,3.2123100000000027
3,B5 SH,ALEXANDER D,3021.5,90.57,0.312,12.3,23.56,,1,0.25,3.2247500000000016
3,B5 SH,ALEXANDER D,3022.0,81.18,0.324,11.1,23.74,,1,0.125,3.0758799999999997
8,B5 LM,ALEXANDER D,3022.5,43.14,0.34,0.6,16.815,,2,1.0,4.100369999999999
8,B5 LM,ALEXANDER D,3023.0,33.38,0.36,4.2,15.15,,2,0.967,4.172989999999997
8,B5 LM,ALEXANDER D,3023.5,29.88,0.38,6.0,15.305,,2,0.933,4.243529999999998
8,B5 LM,ALEXANDER D,3024.0,28.03,0.354,6.6,15.51,,2,0.9,4.222759999999997
8,B5 LM,ALEXANDER D,3024.5,27.17,0.336,6.5,15.77,,2,0.867,4.211779999999997
8,B5 LM,ALEXANDER D,3025.0,26.22,0.305,4.1,17.315,,2,0.833,4.758679999999999
8,B5 LM,ALEXANDER D,3025.5,24.5,0.243,3.0,18.23,,2,0.8,5.25371
8,B5 LM,ALEXANDER D,3026.0,22.65,0.179,2.0,18.72,,2,0.767,5.060660000000001
8,B5 LM,ALEXANDER D,3026.5,19.4,0.158,1.1,18.76,,2,0.733,5.35483
8,B5 LM,ALEXANDER D,3027.0,17.21,0.155,-0.5,18.505,,2,0.7,5.037419999999998
8,B5 LM,ALEXANDER D,3027.5,14.82,0.158,-1.4,17.86,,2,0.667,5.013080000000001
8,B5 LM,ALEXANDER D,3028.0,13.34,0.17,-0.2,16.15,,2,0.633,5.201499999999999
8,B5 LM,ALEXANDER D,3028.5,14.37,0.188,1.1,14.38,,2,0.6,6.36144
8,B5 LM,ALEXANDER D,3029.0,16.58,0.236,1.7,12.975,,2,0.567,6.24143
8,B5 LM,ALEXANDER D,3029.5,19.36,0.342,1.7,11.93,,2,0.533,5.013059999999999
6,B5 LM,ALEXANDER D,3030.0,22.13,0.417,2.2,11.195,,2,0.5,4.3671500000000005
6,B5 LM,ALEXANDER D,3030.5,24.46,0.441,3.7,10.44,,2,0.467,4.386800000000003
6,B5 LM,ALEXANDER D,3031.0,27.42,0.452,4.8,10.075,,2,0.433,4.247159999999998
6,B5 LM,ALEXANDER D,3031.5,31.51,0.452,6.1,10.06,,2,0.4,4.193539999999998
7,B5 LM,ALEXANDER D,3032.0,36.65,0.452,6.9,10.375,,2,0.367,4.046899999999999
7,B5 LM,ALEXANDER D,3032.5,42.07,0.452,7.3,10.785,,2,0.333,3.9245399999999995
8,B5 LM,ALEXANDER D,3033.0,44.85,0.464,6.9,11.1,,2,0.3,4.483789999999998
8,B5 LM,ALEXANDER D,3033.5,43.82,0.487,3.2,12.825,,2,0.267,4.73192
8,B5 LM,ALEXANDER D,3034.0,42.31,0.504,3.2,12.595,,2,0.233,4.534339999999999
8,B5 LM,ALEXANDER D,3034.5,45.53,0.52,3.7,11.585,,2,0.2,4.370560000000001
6,B5 LM,ALEXANDER D,3035.0,53.57,0.524,3.7,10.93,,2,0.167,3.4718500000000008
5,B5 LM,ALEXANDER D,3035.5,58.75,0.519,3.8,10.71,,2,0.133,3.5411600000000005
6,B5 LM,ALEXANDER D,3036.0,62.45,0.5,3.7,10.68,,2,0.1,3.5763800000000003
8,B5 LM,ALEXANDER D,3036.5,64.3,0.476,6.7,12.145,,2,0.067,4.4016899999999985
8,B5 LM,ALEXANDER D,3037.0,83.36,0.43,10.6,14.415,,2,0.033,4.143629999999997
3,C SH,ALEXANDER D,3037.5,99.93,0.377,13.0,19.93,,1,1.0,3.40345
3,C SH,ALEXANDER D,3038.0,107.9,0.35,10.7,23.79,,1,0.981,3.2907399999999996
3,C SH,ALEXANDER D,3038.5,109.79,0.338,10.3,24.205,,1,0.962,3.2959099999999997
3,C SH,ALEXANDER D,3039.0,107.46,0.338,8.9,23.415,,1,0.943,3.1782799999999987
3,C SH,ALEXANDER D,3039.5,104.2,0.364,8.8,21.355,,1,0.925,3.1463799999999993
3,C SH,ALEXANDER D,3040.0,100.89,0.403,8.5,19.2,,1,0.906,3.1676999999999986
3,C SH,ALEXANDER D,3040.5,96.81,0.436,9.1,18.54,,1,0.887,3.2026899999999983
3,C SH,ALEXANDER D,3041.0,93.52,0.45,10.1,18.555,,1,0.868,3.302579999999997
3,C SH,ALEXANDER D,3041.5,91.17,0.464,9.5,19.16,,1,0.849,3.250419999999999
3,C SH,ALEXANDER D,3042.0,91.16,0.48,7.0,20.555,,1,0.83,3.156699999999999
3,C SH,ALEXANDER D,3042.5,91.16,0.498,7.0,20.82,,1,0.811,3.1269699999999987
3,C SH,ALEXANDER D,3043.0,90.22,0.511,9.2,20.195,,1,0.792,3.2178000000000004
3,C SH,ALEXANDER D,3043.5,88.76,0.513,11.7,19.065,,1,0.774,3.6543500000000013
3,C SH,ALEXANDER D,3044.0,87.23,0.525,10.5,18.955,,1,0.755,3.64099
3,C SH,ALEXANDER D,3044.5,86.48,0.528,7.5,19.295,,1,0.736,3.155429999999998
2,C SH,ALEXANDER D,3045.0,86.01,0.528,4.6,19.375,,1,0.717,3.0010800000000004
2,C SH,ALEXANDER D,3045.5,86.01,0.522,5.6,17.82,,1,0.698,2.99874
2,C SH,ALEXANDER D,3046.0,86.0,0.516,8.9,15.975,,1,0.679,3.1677799999999996
2,C SH,ALEXANDER D,3046.5,87.85,0.516,12.0,14.545,,1,0.66,3.6752
2,C SH,ALEXANDER D,3047.0,90.4,0.522,13.0,14.125,,1,0.642,3.728289999999997
2,C SH,ALEXANDER D,3047.5,92.34,0.56,13.1,13.93,,1,0.623,3.637249999999998
2,C SH,ALEXANDER D,3048.0,93.96,0.592,12.6,13.6,,1,0.604,3.4240599999999985
2,C SH,ALEXANDER D,3048.5,94.35,0.607,11.9,13.58,,1,0.585,3.400869999999999
2,C SH,ALEXANDER D,3049.0,93.85,0.607,11.0,13.95,,1,0.566,3.4305599999999994
2,C SH,ALEXANDER D,3049.5,92.45,0.607,9.3,14.73,,1,0.547,3.5636
2,C SH,ALEXANDER D,3050.0,91.43,0.613,10.0,14.335,,1,0.528,3.5524300000000038
2,C SH,ALEXANDER D,3050.5,90.38,0.603,10.8,13.985,,1,0.509,3.4442300000000006
2,C SH,ALEXANDER D,3051.0,91.31,0.592,11.9,14.05,,1,0.491,3.4389699999999994
2,C SH,ALEXANDER D,3051.5,94.47,0.582,12.7,14.2,,1,0.472,3.466699999999999
2,C SH,ALEXANDER D,3052.0,95.67,0.575,13.6,14.39,,1,0.453,3.4536299999999995
2,C SH,ALEXANDER D,3052.5,95.66,0.584,13.7,14.61,,1,0.434,3.4566199999999996
2,C SH,ALEXANDER D,3053.0,94.72,0.593,13.2,14.95,,1,0.415,3.3895800000000005
2,C SH,ALEXANDER D,3053.5,93.76,0.588,11.4,14.8,,1,0.396,3.458250000000001
2,C SH,ALEXANDER D,3054.0,91.57,0.581,10.6,14.75,,1,0.377,3.518430000000001
2,C SH,ALEXANDER D,3054.5,88.82,0.581,11.3,13.885,,1,0.358,3.553010000000001
2,C SH,ALEXANDER D,3055.0,88.2,0.575,11.2,13.455,,1,0.34,3.5495900000000016
2,C SH,ALEXANDER D,3055.5,89.12,0.568,11.1,13.295,,1,0.321,3.6044600000000013
2,C SH,ALEXANDER D,3056.0,89.11,0.562,11.4,13.205,,1,0.302,3.653280000000001
2,C SH,ALEXANDER D,3056.5,89.68,0.559,11.8,14.08,,1,0.283,3.7344399999999998
2,C SH,ALEXANDER D,3057.0,95.2,0.553,9.3,15.595,,1,0.264,3.57702
2,C SH,ALEXANDER D,3057.5,100.38,0.533,7.0,16.775,,1,0.245,3.468280000000002
2,C SH,ALEXANDER D,3058.0,100.69,0.502,5.6,17.655,,1,0.226,3.1338900000000014
2,C SH,ALEXANDER D,3058.5,101.17,0.48,9.3,17.035,,1,0.208,3.4202700000000017
2,C SH,ALEXANDER D,3059.0,105.79,0.45,13.6,17.85,,1,0.189,3.508459999999998
3,C SH,ALEXANDER D,3059.5,110.42,0.431,14.7,18.84,,1,0.17,3.5310299999999994
3,C SH,ALEXANDER D,3060.0,115.02,0.408,15.2,19.66,,1,0.151,3.5995099999999955
3,C SH,ALEXANDER D,3060.5,118.87,0.394,12.1,20.855,,1,0.132,3.4039299999999986
3,C SH,ALEXANDER D,3061.0,120.98,0.389,8.0,20.965,,1,0.113,3.206249999999999
3,C SH,ALEXANDER D,3061.5,120.17,0.382,8.7,19.085,,1,0.075,3.2952699999999977
3,C SH,ALEXANDER D,3062.0,118.88,0.384,10.7,19.515,,1,0.057,3.376789999999997
3,C SH,ALEXANDER D,3062.5,117.37,0.407,9.4,20.135,,1,0.038,3.2881999999999976
3,C SH,ALEXANDER D,3063.0,112.94,0.438,7.4,21.47,,1,0.019,3.242339999999999
5,C LM,ALEXANDER D,3063.5,104.72,0.468,5.8,22.55,,2,1.0,3.1191199999999992
8,C LM,ALEXANDER D,3064.0,93.17,0.498,5.1,23.07,,2,0.991,3.016159999999997
8,C LM,ALEXANDER D,3064.5,82.73,0.559,5.6,19.8,,2,0.983,3.5693399999999955
8,C LM,ALEXANDER D,3065.0,71.43,0.687,1.3,10.76,,2,0.974,4.17643
8,C LM,ALEXANDER D,3065.5,52.48,0.923,0.9,6.66,,2,0.966,4.161959999999998
8,C LM,ALEXANDER D,3066.0,29.52,0.898,0.6,6.32,,2,0.957,4.293700000000001
8,C LM,ALEXANDER D,3066.5,20.23,0.857,0.6,6.24,,2,0.948,4.388220000000001
6,C LM,ALEXANDER D,3067.0,19.76,0.801,0.6,6.4,,2,0.94,3.843810000000001
6,C LM,ALEXANDER D,3067.5,20.21,0.76,0.8,6.82,,2,0.931,3.9268500000000017
6,C LM,ALEXANDER D,3068.0,21.11,0.721,0.6,8.14,,2,0.922,3.936120000000002
6,C LM,ALEXANDER D,3068.5,28.3,0.78,0.2,9.295,,2,0.914,4.0655800000000015
5,C LM,ALEXANDER D,3069.0,33.2,0.86,2.1,8.725,,2,0.905,3.7541700000000002
8,C LM,ALEXANDER D,3069.5,34.58,0.844,3.6,7.585,,2,0.897,4.585110000000003
8,C LM,ALEXANDER D,3070.0,35.04,0.827,3.5,6.925,,2,0.888,4.479870000000004
8,C LM,ALEXANDER D,3070.5,31.78,0.809,3.7,6.7,,2,0.879,4.520160000000004
6,C LM,ALEXANDER D,3071.0,25.36,0.78,3.8,6.585,,2,0.871,4.161230000000001
6,C LM,ALEXANDER D,3071.5,24.34,0.724,6.0,7.545,,2,0.862,3.848500000000002
7,C LM,ALEXANDER D,3072.0,24.38,0.644,8.0,9.3,,2,0.853,3.5894200000000014
7,C LM,ALEXANDER D,3072.5,25.72,0.601,6.7,10.78,,2,0.845,3.3301799999999986
7,C LM,ALEXANDER D,3073.0,31.28,0.594,6.9,10.86,,2,0.836,3.211799999999998
7,C LM,ALEXANDER D,3073.5,33.13,0.607,6.8,10.785,,2,0.828,3.235809999999998
7,C LM,ALEXANDER D,3074.0,33.13,0.627,5.4,10.165,,2,0.819,3.4831000000000008
7,C LM,ALEXANDER D,3074.5,33.28,0.658,3.3,9.935,,2,0.81,3.6055000000000037
7,C LM,ALEXANDER D,3075.0,35.32,0.697,1.6,9.495,,2,0.802,3.83752
7,C LM,ALEXANDER D,3075.5,39.73,0.732,2.0,8.185,,2,0.793,3.7162299999999995
6,C LM,ALEXANDER D,3076.0,44.71,0.78,3.7,7.35,,2,0.784,4.09627
6,C LM,ALEXANDER D,3076.5,47.02,0.859,4.9,7.025,,2,0.776,4.146819999999999
6,C LM,ALEXANDER D,3077.0,47.48,0.895,6.4,7.11,,2,0.767,4.18769
6,C LM,ALEXANDER D,3077.5,47.67,0.914,6.6,6.95,,2,0.759,4.129079999999998
6,C LM,ALEXANDER D,3078.0,48.06,0.92,6.5,7.035,,2,0.75,4.143629999999999
6,C LM,ALEXANDER D,3078.5,48.06,0.92,6.5,7.035,,2,0.75,4.143629999999999
6,C LM,ALEXANDER D,3079.0,50.2,0.92,6.4,7.17,,2,0.741,4.15029
6,C LM,ALEXANDER D,3079.5,54.42,0.92,6.2,7.405,,2,0.733,4.140039999999999
5,C LM,ALEXANDER D,3080.0,55.8,0.919,5.5,7.825,,2,0.724,4.07126
5,C LM,ALEXANDER D,3080.5,53.94,0.919,4.5,8.11,,2,0.716,4.048560000000002
5,C LM,ALEXANDER D,3081.0,51.81,0.919,3.3,8.435,,2,0.707,3.8681099999999997
5,C LM,ALEXANDER D,3081.5,49.4,0.913,3.0,8.51,,2,0.698,3.7373099999999995
5,C LM,ALEXANDER D,3082.0,47.78,0.913,3.3,8.385,,2,0.69,3.7533299999999996
5,C LM,ALEXANDER D,3082.5,46.95,0.906,4.6,8.06,,2,0.681,3.9018299999999986
5,C LM,ALEXANDER D,3083.0,47.4,0.906,5.2,8.07,,2,0.672,3.9049899999999997
5,C LM,ALEXANDER D,3083.5,48.32,0.9,5.4,8.265,,2,0.664,3.78957
5,C LM,ALEXANDER D,3084.0,49.07,0.897,4.3,9.0,,2,0.655,3.8279600000000022
5,C LM,ALEXANDER D,3084.5,50.13,0.897,2.5,9.66,,2,0.647,3.6637
6,C LM,ALEXANDER D,3085.0,51.38,0.902,3.5,9.08,,2,0.638,3.8719700000000006
6,C LM,ALEXANDER D,3085.5,52.62,0.913,4.7,8.5,,2,0.629,3.8185000000000007
6,C LM,ALEXANDER D,3086.0,54.33,0.925,5.0,8.235,,2,0.621,3.95575
6,C LM,ALEXANDER D,3086.5,56.18,0.937,4.8,8.01,,2,0.612,4.019890000000001
6,C LM,ALEXANDER D,3087.0,57.56,0.942,4.2,8.02,,2,0.603,4.006400000000002
6,C LM,ALEXANDER D,3087.5,59.25,0.942,3.6,8.03,,2,0.595,4.00228
6,C LM,ALEXANDER D,3088.0,61.36,0.942,3.5,8.105,,2,0.586,4.141489999999999
6,C LM,ALEXANDER D,3088.5,63.92,0.936,5.3,7.895,,2,0.578,4.146720000000002
6,C LM,ALEXANDER D,3089.0,67.46,0.932,7.0,7.805,,2,0.569,4.188130000000001
6,C LM,ALEXANDER D,3089.5,72.85,0.907,8.5,7.94,,2,0.56,4.346380000000002
6,C LM,ALEXANDER D,3090.0,84.46,0.879,10.1,8.63,,2,0.552,4.166950000000003
6,C LM,ALEXANDER D,3090.5,98.11,0.843,10.7,9.26,,2,0.543,4.398830000000002
5,C LM,ALEXANDER D,3091.0,115.09,0.816,10.7,9.59,,2,0.534,4.261000000000001
5,C LM,ALEXANDER D,3091.5,128.3,0.792,10.1,9.835,,2,0.526,4.270960000000001
4,C LM,ALEXANDER D,3092.0,128.3,0.792,10.1,9.835,,2,0.526,4.256020000000001
4,C LM,ALEXANDER D,3092.5,141.19,0.781,7.0,10.78,,2,0.517,3.98969
4,C LM,ALEXANDER D,3093.0,168.43,0.781,2.2,12.9,,2,0.509,4.0281600000000015
4,C LM,ALEXANDER D,3093.5,159.61,0.781,1.3,13.73,,2,0.5,4.425100000000003
4,C LM,ALEXANDER D,3094.0,146.35,0.78,2.4,13.675,,2,0.491,3.9459700000000026
4,C LM,ALEXANDER D,3094.5,137.77,0.78,3.2,13.37,,2,0.483,3.8743300000000027
4,C LM,ALEXANDER D,3095.0,110.36,0.78,3.9,13.145,,2,0.474,3.651010000000002
4,C LM,ALEXANDER D,3095.5,93.18,0.78,4.7,13.0,,2,0.466,3.634930000000001
4,C LM,ALEXANDER D,3096.0,78.74,0.778,5.3,12.895,,2,0.457,3.6112200000000017
4,C LM,ALEXANDER D,3096.5,71.43,0.766,5.2,12.635,,2,0.448,3.560860000000001
4,C LM,ALEXANDER D,3097.0,69.7,0.754,4.4,12.68,,2,0.44,3.555550000000001
4,C LM,ALEXANDER D,3097.5,69.01,0.736,4.2,13.25,,2,0.431,3.577430000000001
4,C LM,ALEXANDER D,3098.0,68.54,0.719,4.8,13.905,,2,0.422,3.4999400000000005
4,C LM,ALEXANDER D,3098.5,68.53,0.7,6.0,14.32,,2,0.414,3.522129999999999
4,C LM,ALEXANDER D,3099.0,69.0,0.694,6.6,14.4,,2,0.405,3.5653999999999986
4,C LM,ALEXANDER D,3099.5,69.27,0.687,6.8,14.28,,2,0.397,3.538569999999998
4,C LM,ALEXANDER D,3100.0,69.91,0.68,6.7,14.21,,2,0.388,3.5090499999999976
4,C LM,ALEXANDER D,3100.5,70.99,0.678,6.7,14.48,,2,0.379,3.5005999999999977
4,C LM,ALEXANDER D,3101.0,71.95,0.674,7.0,15.205,,2,0.371,3.4678899999999984
4,C LM,ALEXANDER D,3101.5,73.74,0.672,7.1,15.8,,2,0.362,3.4508999999999963
4,C LM,ALEXANDER D,3102.0,77.33,0.668,6.9,15.985,,2,0.353,3.4541099999999965
4,C LM,ALEXANDER D,3102.5,82.89,0.667,7.1,15.925,,2,0.345,3.4611899999999967
4,C LM,ALEXANDER D,3103.0,91.25,0.667,7.3,15.86,,2,0.336,3.4643199999999985
4,C LM,ALEXANDER D,3103.5,96.66,0.663,7.9,16.08,,2,0.328,3.4662199999999985
4,C LM,ALEXANDER D,3104.0,99.78,0.668,8.5,16.695,,2,0.319,3.5240199999999993
4,C LM,ALEXANDER D,3104.5,100.52,0.698,10.0,16.165,,2,0.31,3.7494699999999983
4,C LM,ALEXANDER D,3105.0,100.52,0.697,10.3,16.085,,2,0.302,3.7691299999999983
4,C LM,ALEXANDER D,3105.5,99.28,0.697,8.1,15.16,,2,0.293,3.6403599999999994
4,C LM,ALEXANDER D,3106.0,96.61,0.697,5.5,14.04,,2,0.284,3.5460500000000006
4,C LM,ALEXANDER D,3106.5,87.87,0.696,3.2,13.055,,2,0.276,3.4248400000000014
6,C LM,ALEXANDER D,3107.0,74.49,0.702,2.2,12.83,,2,0.267,3.499990000000001
6,C LM,ALEXANDER D,3107.5,66.13,0.703,3.6,11.6,,2,0.259,3.5370099999999995
6,C LM,ALEXANDER D,3108.0,67.05,0.72,7.9,11.32,,2,0.25,4.248409999999999
6,C LM,ALEXANDER D,3108.5,75.94,0.687,12.6,12.935,,2,0.241,3.9488000000000003
4,C LM,ALEXANDER D,3109.0,90.7,0.625,15.2,14.45,,2,0.233,3.6067299999999993
2,C LM,ALEXANDER D,3109.5,101.41,0.55,16.8,15.515,,1,0.224,3.63925
2,C LM,ALEXANDER D,3110.0,105.12,0.489,18.2,16.625,,1,0.216,3.6929199999999995
2,C LM,ALEXANDER D,3110.5,107.1,0.43,17.7,17.06,,1,0.207,3.4771399999999995
2,C LM,ALEXANDER D,3111.0,103.88,0.393,14.7,18.785,,1,0.198,3.4539999999999957
2,C LM,ALEXANDER D,3111.5,97.63,0.356,11.6,18.98,,1,0.19,3.293649999999999
8,C LM,ALEXANDER D,3112.0,30.78,0.283,1.3,17.555,,2,0.164,4.962300000000003
8,C LM,ALEXANDER D,3112.5,24.65,0.262,0.8,17.925,,2,0.155,5.104490000000002
8,C LM,ALEXANDER D,3113.0,23.36,0.243,3.9,16.51,,2,0.147,5.18544
8,C LM,ALEXANDER D,3113.5,27.77,0.23,6.6,15.915,,2,0.138,5.3037199999999975
8,C LM,ALEXANDER D,3114.0,32.19,0.238,6.8,15.845,,2,0.129,5.289989999999998
8,C LM,ALEXANDER D,3114.5,36.6,0.243,6.7,15.605,,2,0.121,5.204139999999998
8,C LM,ALEXANDER D,3115.0,41.01,0.253,4.5,15.51,,2,0.112,5.18346
8,C LM,ALEXANDER D,3115.5,45.42,0.265,0.9,14.905,,2,0.103,5.03039
8,C LM,ALEXANDER D,3116.0,49.83,0.288,-1.7,13.62,,2,0.095,5.09876
8,C LM,ALEXANDER D,3116.5,54.24,0.318,-2.7,12.285,,2,0.086,4.423430000000001
8,C LM,ALEXANDER D,3117.0,58.65,0.408,-4.2,10.255,,2,0.078,4.390279999999999
8,C LM,ALEXANDER D,3117.5,63.07,0.66,-3.6,9.37,,2,0.069,4.001050000000001
8,C LM,ALEXANDER D,3118.0,66.12,0.79,-2.9,8.73,,2,0.06,3.9378899999999977
8,C LM,ALEXANDER D,3118.5,67.66,0.878,-2.2,8.325,,2,0.052,4.111500000000001
8,C LM,ALEXANDER D,3119.0,68.34,0.91,-1.8,8.065,,2,0.043,4.085590000000001
8,C LM,ALEXANDER D,3119.5,67.87,0.926,1.8,8.175,,2,0.034,3.9220500000000014
8,C LM,ALEXANDER D,3120.0,66.0,0.928,6.3,8.54,,2,0.026,4.200619999999998
8,C LM,ALEXANDER D,3120.5,67.39,0.898,9.6,9.755,,2,0.017,4.131219999999998
8,C LM,ALEXANDER D,3121.0,76.58,0.85,12.1,10.815,,2,0.009,3.9478199999999966
1,A1 SH,KIMZEY A,2918.5,73.816,0.769,5.226,11.348,,1,1.0,3.3691799999999983
1,A1 SH,KIMZEY A,2919.0,75.118,0.627,8.198,13.164,,1,0.978,3.3551599999999984
1,A1 SH,KIMZEY A,2919.5,72.434,0.535,10.867,15.0755,,1,0.956,3.3935200000000005
2,A1 SH,KIMZEY A,2920.0,66.161,0.568,4.566,16.905,,1,0.933,3.0468199999999994
2,A1 SH,KIMZEY A,2920.5,63.104,0.65,2.083,15.8835,,1,0.911,2.99583
1,A1 SH,KIMZEY A,2921.0,61.708,0.732,4.292,12.036,,1,0.889,3.18074
2,A1 SH,KIMZEY A,2921.5,60.478,0.688,4.236,10.908,,1,0.867,3.30549
1,A1 SH,KIMZEY A,2922.0,58.876,0.683,2.449,12.1045,,1,0.844,3.072139999999999
1,A1 SH,KIMZEY A,2922.5,56.785,0.753,2.311,12.9165,,1,0.822,3.260239999999998
1,A1 SH,KIMZEY A,2923.0,54.551,0.759,0.748,13.147,,1,0.8,3.240129999999998
1,A1 SH,KIMZEY A,2923.5,55.816,0.802,0.101,14.3515,,1,0.778,3.3387099999999976
3,A1 SH,KIMZEY A,2924.0,59.263,0.759,0.936,16.575,,1,0.756,3.515289999999997
3,A1 SH,KIMZEY A,2924.5,62.969,0.421,1.513,17.7715,,1,0.733,2.7290699999999983
1,A1 SH,KIMZEY A,2925.0,65.403,0.33,5.722,23.48,,1,0.711,2.6862399999999993
3,A1 SH,KIMZEY A,2925.5,67.745,0.285,6.988,25.213,,1,0.689,2.851139999999999
3,A1 SH,KIMZEY A,2926.0,68.45,0.35,5.392,27.221,,1,0.667,2.7852199999999994
3,A1 SH,KIMZEY A,2926.5,68.727,0.475,5.888,30.11,,1,0.644,2.75413
2,A1 SH,KIMZEY A,2927.0,66.604,0.677,11.995,16.2725,,1,0.622,3.3071399999999995
2,A1 SH,KIMZEY A,2927.5,63.92,0.721,7.923,12.4755,,1,0.6,3.50719
2,A1 SH,KIMZEY A,2928.0,58.267,0.737,7.923,10.7705,,1,0.578,3.6325699999999994
2,A1 SH,KIMZEY A,2928.5,56.916,0.677,6.987,9.7525,,1,0.556,3.631950000000001
2,A1 SH,KIMZEY A,2929.0,56.618,0.65,6.492,9.395,,1,0.533,3.5942400000000014
2,A1 SH,KIMZEY A,2929.5,60.636,0.639,6.602,10.055,,1,0.511,3.6002600000000022
3,A1 SH,KIMZEY A,2930.0,61.96,0.606,6.602,10.495,,1,0.489,3.5465800000000005
3,A1 SH,KIMZEY A,2930.5,64.962,0.59,6.328,11.293,,1,0.467,3.285629999999999
3,A1 SH,KIMZEY A,2931.0,67.517,0.563,7.098,12.118,,1,0.444,3.28768
3,A1 SH,KIMZEY A,2931.5,68.959,0.552,8.308,12.118,,1,0.422,3.3295299999999974
3,A1 SH,KIMZEY A,2932.0,66.302,0.552,8.473,11.7055,,1,0.4,3.4353499999999992
3,A1 SH,KIMZEY A,2932.5,61.404,0.59,8.033,10.9355,,1,0.378,3.4908699999999993
2,A1 SH,KIMZEY A,2933.0,56.906,0.623,6.217,10.4675,,1,0.356,3.5615600000000027
2,A1 SH,KIMZEY A,2933.5,55.656,0.655,5.612,11.045,,1,0.333,3.354409999999998
2,A1 SH,KIMZEY A,2934.0,55.94,0.639,6.218,11.678,,1,0.311,3.45177
2,A1 SH,KIMZEY A,2934.5,58.334,0.617,8.143,13.0815,,1,0.289,3.4774900000000017
2,A1 SH,KIMZEY A,2935.0,59.547,0.59,9.793,14.0715,,1,0.267,3.4489599999999996
2,A1 SH,KIMZEY A,2935.5,62.762,0.601,9.958,14.154,,1,0.244,3.4572499999999997
2,A1 SH,KIMZEY A,2936.0,65.695,0.633,9.408,13.549,,1,0.222,3.5222000000000007
2,A1 SH,KIMZEY A,2936.5,70.578,0.633,10.399,11.5135,,1,0.2,3.4701800000000005
2,A1 SH,KIMZEY A,2937.0,73.069,0.601,10.206,11.499,,1,0.178,3.5035900000000013
3,A1 SH,KIMZEY A,2937.5,74.041,0.623,10.894,12.091,,1,0.156,3.563019999999998
3,A1 SH,KIMZEY A,2938.0,74.037,0.732,11.389,12.6135,,1,0.133,3.5491199999999967
3,A1 SH,KIMZEY A,2938.5,72.422,0.737,12.27,13.329,,1,0.111,3.5283099999999994
3,A1 SH,KIMZEY A,2939.0,71.318,0.532,12.819,15.3095,,1,0.089,3.5810000000000026
3,A1 SH,KIMZEY A,2939.5,68.421,0.432,12.6,16.41,,1,0.067,3.2759599999999995
3,A1 SH,KIMZEY A,2940.0,66.15,0.443,15.571,18.9405,,1,0.044,3.2884700000000002
3,A1 SH,KIMZEY A,2940.5,60.517,0.525,14.47,20.096,,1,0.022,3.5114700000000023
6,A1 LM,KIMZEY A,2941.0,57.391,0.653,9.262,18.024,,1,1.0,3.6467499999999973
8,A1 LM,KIMZEY A,2941.5,47.916,0.819,15.681,13.4935,,2,0.988,3.7702599999999977
8,A1 LM,KIMZEY A,2942.0,38.771,0.966,11.664,12.311,,2,0.976,3.866619999999998
8,A1 LM,KIMZEY A,2942.5,34.811,1.184,5.178,7.796,,2,0.964,4.407259999999998
8,A1 LM,KIMZEY A,2943.0,34.846,1.364,3.576,6.176,,2,0.952,4.190799999999998
8,A1 LM,KIMZEY A,2943.5,39.206,1.402,1.981,6.5885,,2,0.94,4.342099999999996
8,A1 LM,KIMZEY A,2944.0,42.445,1.429,2.421,6.0935,,2,0.929,4.379319999999996
8,A1 LM,KIMZEY A,2944.5,44.914,1.445,3.425,5.5915,,2,0.917,4.395929999999998
8,A1 LM,KIMZEY A,2945.0,41.339,1.462,4.787,5.2405,,2,0.905,4.7030899999999995
8,A1 LM,KIMZEY A,2945.5,36.036,1.435,6.052,5.048,,2,0.893,4.740619999999997
6,A1 LM,KIMZEY A,2946.0,34.817,1.326,7.702,4.663,,2,0.881,4.564179999999997
6,A1 LM,KIMZEY A,2946.5,36.339,1.054,8.914,5.103,,2,0.869,4.243199999999997
6,A1 LM,KIMZEY A,2947.0,41.035,0.857,10.619,6.6165,,2,0.857,4.23252
6,A1 LM,KIMZEY A,2947.5,44.711,0.791,11.499,7.5515,,2,0.845,3.9790599999999996
5,A1 LM,KIMZEY A,2948.0,49.27,0.742,12.105,8.7895,,2,0.833,3.835370000000001
5,A1 LM,KIMZEY A,2948.5,50.791,0.721,14.415,8.7895,,2,0.821,3.818220000000001
5,A1 LM,KIMZEY A,2949.0,54.86,0.715,13.093,9.8355,,2,0.81,3.8683200000000024
5,A1 LM,KIMZEY A,2949.5,59.829,0.721,12.104,10.55,,2,0.798,3.873850000000001
5,A1 LM,KIMZEY A,2950.0,62.092,0.764,11.884,10.66,,2,0.786,3.95399
